"giliese_catalogue_name";"bayer_flamsteed_designation";"proper_name";"absolute_magnitude";"spectral_type";"colour_index";"x_parsecs";"y_parsecs";"z_parsecs";"constellation";"luminosity"
;;;"-10.750";"A9III";"0.429";"-45340.869732";"32211.801048";"-83105.988985";"Vel";"1737800.8287493763"
;;;"-10.910";"K0";"1.032";"-34301.131203";"24355.650732";"90720.640846";"UMa";"2013724.2498623894"
;;;"-10.500";"A0V";"0.041";"-61148.360141";"43375.956467";"-66177.068935";"Vel";"1380384.2646028867"
;;;"-12.010";"G2Ib/II";"0.863";"-65581.729085";"46432.823033";"-59523.354706";"Ant";"5546257.1295791045"
;;;"-10.260";"G5";"1.140";"-50764.423755";"35910.985191";"-78315.863166";"Vel";"1106623.7839776676"
;;;"-11.990";"K3III";"1.459";"-77579.889811";"54840.786062";"-31206.551891";"Hya";"5445026.52842422"
;;;"-11.560";"G5";"0.995";"-79106.552068";"55873.366036";"24906.231902";"Leo";"3664375.746478333"
;;;"-11.070";"G8/K0II/III";"1.000";"-43905.890102";"30918.643639";"-84358.225976";"Car";"2333458.0622810046"
;;;"-12.580";"K2/K3III";"1.620";"-49270.274884";"34695.366876";"-79803.956858";"Vel";"9375620.069258811"
;;;"-11.120";"G5";"1.119";"-38283.782635";"26939.297627";"88366.431582";"UMa";"2443430.5526939714"
;;;"-11.890";"K2";"1.629";"-80429.650010";"56440.884752";"-18587.574549";"Hya";"4965923.214503378"
;;;"-12.200";"K0";"1.054";"-81942.701092";"57289.838607";"-1807.797006";"Hya";"6606934.480075951"
;;;"-11.640";"M0/M1III";"1.589";"-75329.699639";"52480.880640";"-39638.283508";"Hya";"3944573.0207527927"
;;;"-11.940";"K2III";"1.375";"-73749.916444";"51368.509806";"43843.199932";"Leo";"5199959.965335162"
;;;"-11.440";"M0";"1.428";"-65933.223977";"45918.127517";"-59534.322381";"Ant";"3280952.93113119"
;;;"-9.820";;"0.405";"-82092.606926";"57075.436716";"1788.391030";"Hya";"737904.2301291015"
;;;"-9.740";"F8";"0.603";"-65525.728551";"45381.822984";"60389.312303";"LMi";"685488.226452662"
;;;"-10.980";"K0III:";"1.261";"-36558.512205";"25280.718175";"-89578.794779";"Car";"2147830.4741305374"
;;;"-10.990";"K0";"0.993";"-53585.183102";"37018.932007";"75882.981129";"UMa";"2167704.1048196964"
;;;"-10.130";"K0";"1.298";"-41572.261155";"28699.021695";"86302.452203";"UMa";"981747.9430199864"
;;;"-10.950";"M...";"1.605";"-68979.670223";"47600.123704";"54553.032173";"LMi";"2089296.1308540408"
;;;"-11.530";"K2";"1.330";"-81796.696166";"56308.879256";"-11773.300864";"Sex";"3564511.334262439"
;;;"-11.700";"K5";"1.146";"-82228.044689";"56479.201602";"-6974.844304";"Sex";"4168693.8347033467"
;;;"-11.280";"G5";"0.881";"-76659.040705";"52644.548474";"36768.777438";"Leo";"2831391.995799379"
;;;"-9.560";"F5";"0.339";"-68127.737177";"46783.028727";"56302.394712";"LMi";"580764.4175213124"
;;;"-11.010";"G6/G8III+..";"0.713";"-62578.879726";"42950.551795";"-65108.631630";"Vel";"2208004.733018901"
;;;"-10.660";"G2we";"0.644";"-49098.734884";"33642.344332";"80358.613623";"UMa";"1599558.0286146712"
;;;"-10.140";"F2";"0.448";"-64646.869228";"44272.495967";"62134.759996";"LMi";"990831.9448927686"
;;;"-9.750";"F2";"0.350";"-53587.964243";"36651.468477";"-76059.187130";"Vel";"691830.9709189363"
;;;"-7.390";"Fp";;"-63625.458501";"43448.121558";"-63749.994225";;"78704.57896950985"
;;;"-11.210";"K0III";"1.067";"-80092.642695";"54675.923875";"-24407.210708";"Hya";"2654605.561975547"
;;;"-11.080";"B9IV";"0.055";"-40906.949483";"27911.439741";"-86876.769136";"Car";"2355049.283896009"
;;;"-11.670";"G6Ib/II";"1.391";"-52953.015767";"36100.546333";"-76764.110597";"Vel";"4055085.3544838433"
;;;"-10.480";"B9III";"0.118";"-58439.044704";"39775.626955";"-70730.315668";"Vel";"1355189.4123510378"
;;;"-11.090";"G5";"0.944";"-77269.867593";"52490.656420";"35694.517098";"Leo";"2376840.286624878"
;;;"-8.890";"A1II";"0.560";"-44734.021390";"30336.488488";"-84134.207053";"Car";"313328.57243155886"
;;;"-10.480";"A6III";"0.257";"-72768.056545";"49346.373886";"-47641.844327";"Ant";"1355189.4123510378"
;;;"-10.980";"B9IV";"-0.025";"-72320.699691";"48938.340461";"-48731.460363";"Ant";"2147830.4741305374"
;;;"-9.510";"F8";"0.564";"-53224.211878";"35998.594727";"76624.307160";"UMa";"554625.7129579105"
;;;"-11.660";"G8III+...";"0.849";"-42440.778247";"28687.914088";"-85882.384265";"Car";"4017908.108489392"
;;;"-11.240";"M...";"1.719";"-82150.143609";"55507.169528";"13050.212100";"Leo";"2728977.7828080403"
;;;"-11.160";"M6";"1.561";"-49021.133937";"33024.385867";"80661.752805";"UMa";"2535128.6304979073"
;;;"-12.190";"M...";"1.591";"-68193.676015";"45885.093361";"56957.710268";"LMi";"6546361.740672748"
;;;"-10.960";"A3";"0.281";"-53979.269773";"36288.501735";"75956.455134";"UMa";"2108628.149933293"
;;;"-10.710";"K2";"1.289";"-61936.169156";"41601.644896";"66582.385750";"UMa";"1674942.876026438"
;;;"-11.310";"A2II";"0.350";"-52460.975686";"35187.469961";"-77522.177394";"Vel";"2910717.118066608"
;;;"-11.330";"K0";"1.145";"-12138.726459";"8129.061401";"98927.092782";"Cam";"2964831.3895243453"
;;;"-9.040";"K0";"1.049";"-82867.358136";"55473.071298";"7465.876810";"Sex";"359749.33515574236"
;;;"-9.640";;"1.251";"-13697.978469";"9167.130294";"-98632.292420";"Cha";"625172.6927756862"
;;;"-9.450";;"1.072";"-47562.691683";"31825.718255";"-82005.573087";"Vel";"524807.4602497723"
;;;"-11.530";"K5III";"1.592";"-40298.597371";"26845.138024";"-87494.923364";"Car";"3564511.334262439"
;;;"-11.600";"K1III";"1.188";"-48034.491593";"31986.112920";"-81667.473315";"Vel";"3801893.9632056127"
;;;"-13.550";"B0IV";"-0.137";"-71936.566991";"47900.128499";"-50306.143544";"Ant";"22908676.5276777"
;;;"-11.060";"K5";"1.388";"-82784.587091";"54924.409937";"-11402.689740";"Sex";"2312064.7901755986"
;;;"-11.130";"M0/M1III";"1.650";"-68557.293509";"45460.229202";"-56861.806757";"Ant";"2466039.337234341"
;;;"-11.060";"G8/K0III";"0.960";"-77429.527554";"51291.939142";"-37064.878817";"Hya";"2312064.7901755986"
;;;"-11.080";"F0";"0.364";"-81112.344969";"53663.493547";"23259.771151";"Leo";"2355049.283896009"
;;;"-8.930";"Mp";"1.709";"-70533.203821";"46597.453051";"-53420.450467";"Ant";"325087.29738543474"
;;;"-13.060";"A0III";"-0.012";"-69583.859317";"45939.262280";"-55205.712600";"Ant";"14588142.602753503"
;;;"-10.850";"K0";"1.178";"-82611.235303";"54041.525207";"-15965.505161";"Sex";"1905460.7179632483"
;;;"-12.030";"GV:w";"1.064";"-62738.662963";"41008.115599";"-66198.146685";"Vel";"5649369.748123023"
;;;"-10.750";"K5";"1.526";"-64986.972524";"42411.821021";"63070.839853";"LMi";"1737800.8287493763"
;;;"-12.290";"K0";"1.603";"-82249.701846";"53675.158986";"18813.927130";"Leo";"7177942.91271363"
;;;"-11.220";"K5";"1.665";"-83605.645831";"54369.574080";"7351.557617";"Sex";"2679168.3248190368"
;;;"-12.270";"K2/K3III+..";"1.315";"-32943.615709";"21417.057568";"-91956.662777";"Car";"7046930.689671452"
;;;"-10.500";"M0";"1.130";"-80741.270560";"52397.180740";"-27117.940168";"Hya";"1380384.2646028867"
;;;"-10.230";"K0";"1.155";"-24696.762439";"15993.678104";"95573.386388";"UMa";"1076465.213629835"
;;;"-11.070";"A3IIIm...";"0.236";"-70717.360586";"45664.375261";"-53979.808668";"Ant";"2333458.0622810046"
;;;"-9.570";;"0.912";"-47572.061882";"30689.987360";"-82431.933158";"Vel";"586138.1645140296"
;;;"-11.350";"B2V";"-0.153";"-83948.579307";"54131.524233";"-4734.367979";"Sex";"3019951.720402019"
;;;"-11.300";"G5";"1.107";"-82071.147665";"52860.373599";"21681.965406";"Leo";"2884031.503126606"
;;;"-11.690";"K2";"1.423";"-49491.433524";"31865.169712";"80840.639328";"UMa";"4130475.0199016104"
;;;"-11.440";"K5";"1.554";"-48074.828434";"30947.731380";"82042.969189";"UMa";"3280952.93113119"
;;;"-8.010";"Kp";;"-67325.102157";"43312.280946";"-59928.098075";"Ant";"139315.68029453035"
;;;"-11.840";"M...";"1.656";"-83819.835779";"53870.202613";"-8499.199991";"Sex";"4742419.852602438"
;;;"-10.000";"M0";"1.558";"-81852.712617";"52538.758917";"-23233.859961";"Hya";"870963.5899560815"
;;;"-10.580";"K0III";"0.947";"-68984.615477";"44119.701713";"-57398.386287";"Ant";"1485935.642287009"
;;;"-10.590";"K2";"1.122";"-83642.305375";"53448.525596";"12133.419264";"Leo";"1499684.835502374"
;;;"-11.030";"G8III";"1.040";"-80579.634612";"51468.366609";"-29290.437422";"Hya";"2249054.605835783"
;;;"-11.680";"B8/B9III";"-0.026";"-41429.056445";"26353.442385";"-87115.609144";"Car";"4092606.597300118"
;;;"-10.120";;"0.533";"-45832.386222";"29124.292626";"83971.232885";"UMa";"972747.2237769641"
;;;"-11.530";"K2";"1.638";"-84061.540776";"53393.203006";"9100.727174";"Sex";"3564511.334262439"
;;;"-10.680";"F2";"0.389";"-84381.536011";"53545.308022";"-3557.579132";"Sex";"1629296.0326397214"
;;;"-11.440";"B5Vne";"0.123";"-40984.303179";"25990.466623";"-87434.447088";"Car";"3280952.93113119"
;;;"-11.570";"K0";"1.333";"-84209.322589";"53229.626250";"8683.139988";"Sex";"3698281.797802674"
;;;"-11.720";"K2/K3III";"1.357";"-72547.461095";"45759.668830";"-51409.324030";"Ant";"4246195.63946313"
;;;"-10.100";"R...";"1.750";"-51352.228784";"32372.909312";"79466.617511";"UMa";"954992.5860214368"
;;;"-11.770";"K2III";"1.510";"-47004.499265";"29570.236495";"-83163.562710";"Vel";"4446312.674691084"
;;;"-11.140";"B9V";"-0.030";"-52189.902322";"32812.748529";"-78737.142631";"Vel";"2488857.3182823956"
;;;"-11.260";"K0";"1.526";"-65183.705154";"40909.016198";"-63855.594713";"Ant";"2779713.267759288"
;;;"-10.520";"B9.5IV";"0.034";"-43271.421793";"27136.941891";"-85971.916582";"Car";"1406047.524129913"
;;;"-11.060";"K0";"1.248";"-83511.924680";"52298.765243";"17046.923189";"Leo";"2312064.7901755986"
;;;"-9.800";"B3";"-0.218";"-47753.936976";"29849.749899";"82635.064799";"UMa";"724435.9600749906"
;;;"-11.180";"M3III-IVvar";"1.671";"-75653.325290";"47209.303871";"45253.242983";"Leo";"2582260.190634601"
;;;"-11.030";"B9";;"-81359.592261";"50768.913259";"28339.622330";"Leo";"2249054.605835783"
;;;"-11.030";"A0V+A/F";"0.254";"-74467.119516";"46413.688336";"-47962.669296";"Ant";"2249054.605835783"
;;;"-7.440";"K:";;"-42073.618332";"26221.464821";"86845.737089";"UMa";"82413.8115013003"
;;;"-12.510";"B3IV";"-0.131";"-52631.687713";"32694.800883";"-78491.753985";"Vel";"8790225.168308843"
;;;"-11.630";"F5II";"0.795";"-50509.115538";"31372.468548";"-80402.720505";"Vel";"3908408.957924025"
;;;"-10.070";"F8";"0.835";"-45123.746925";"28020.248771";"84727.283566";"UMa";"928966.3867799363"
;;;"-10.970";"K2";"1.212";"-40263.700600";"25002.239012";"88055.223913";"UMa";"2128139.0459827133"
;;;"-11.240";"K7";"1.578";"-51651.175958";"31991.953526";"79427.142287";"UMa";"2728977.7828080403"
;;;"-11.920";"K5";"1.720";"-78790.206629";"48721.840474";"37660.132769";"Leo";"5105049.999754065"
;;;"-9.490";"C";"2.100";"-51815.484941";"31929.298491";"-79345.292351";"Vel";"544502.652842422"
;;;"-10.730";"F0V";"0.426";"-63824.930737";"39139.200850";"-66291.033883";"Vel";"1706082.3890031243"
;;;"-10.730";"B9.5III/IV";"0.117";"-45656.394037";"27995.324240";"-84449.721754";"Car";"1706082.3890031243"
;;;"-11.140";"K0III";"1.032";"-80198.142639";"49169.304791";"-33921.046322";"Hya";"2488857.3182823956"
;;;"-12.100";"M...";"1.335";"-83894.499956";"51425.020345";"17809.552488";"Leo";"6025595.860743581"
;;;"-10.770";"A0/A1III";"0.093";"-45628.838731";"27959.967850";"-84476.323747";"Car";"1770108.958317422"
;;;"-10.520";"K0";"0.927";"-74965.794333";"45897.322479";"47681.919732";"Leo";"1406047.524129913"
;;;"-10.860";"G8IV/VCN...";"1.064";"-58063.617343";"35543.826938";"-73247.885346";"Vel";"1923091.7289101575"
;;;"-11.520";"G3V";"0.838";"-52799.663075";"32306.204024";"-78539.829136";"Vel";"3531831.697919563"
;;;"-10.160";"F5";"0.452";"-50661.167157";"30934.276783";"80476.808226";"UMa";"1009252.8860766855"
;;;"-11.440";"K2";"1.360";"-82048.355314";"50049.835771";"27623.926763";"Leo";"3280952.93113119"
;;;"-11.070";"K0";"1.172";"-66277.853742";"40329.280408";"63093.543609";"LMi";"2333458.0622810046"
;;;"-11.740";"WN8";"0.274";"-45633.676730";"27723.435880";"-84551.633048";"Car";"4325138.310350088"
;;;"-10.520";"K0";"1.000";"-75976.067215";"46148.311565";"-45803.608486";"Ant";"1406047.524129913"
;;;"-12.070";"M4";"1.551";"-85492.927861";"51873.482149";"-318.102314";"Sex";"5861381.645140297"
;;;"-10.940";"G6/G8IV";"0.936";"-49782.318089";"30202.884967";"-81298.871735";"Vel";"2070141.3487910414"
;;;"-10.260";"G5";"0.965";"-56451.413132";"34248.248288";"-75101.900406";"Vel";"1106623.7839776676"
;;;"-11.120";"G5";"0.852";"-85490.536729";"51821.966547";"-2419.072770";"Sex";"2443430.5526939714"
;;;"-10.790";"K2III";"1.397";"-66564.037665";"40265.727813";"-62832.316951";"Ant";"1803017.74085957"
;;;"-7.200";;"-0.330";"-53129.022766";"32136.690644";"78387.116637";;"66069.34480075965"
;;;"-11.240";"G8/K0III";"0.950";"-62662.164345";"37731.449005";"-68189.375386";"Vel";"2728977.7828080403"
;;;"-13.610";"B2IV-V";"-0.162";"-53602.693474";"32091.698232";"-78082.483138";"Vel";"24210290.4673618"
;;;"-9.650";"K0";"0.979";"-83266.397596";"49802.180523";"24216.726586";"Leo";"630957.3444801943"
;;;"-12.090";"B5IV";"-0.095";"-53060.484344";"31678.209720";"-78619.819575";"Vel";"5970352.865838366"
;;;"-11.320";"K3/K4III";"1.517";"-83202.646725";"49594.723071";"-24853.229600";"Hya";"2937649.6519615366"
;;;"-11.270";"K2";"1.297";"-85697.160267";"51069.683964";"6919.833964";"Sex";"2805433.6379517103"
;;;"-12.070";"B5/B6IV:";"-0.045";"-38493.113375";"22913.824855";"-89404.903966";"Car";"5861381.645140297"
;;;"-11.460";"K4III";"1.510";"-81927.513110";"48708.524475";"-30254.953959";"Hya";"3341950.4002611497"
;;;"-10.960";"K2";"1.341";"-32542.305676";"19316.840316";"92562.724795";"UMa";"2108628.149933293"
;;;"-10.860";"B9V";"-0.290";"-63493.072382";"37629.289980";"-67473.448816";"Vel";"1923091.7289101575"
;;;"-11.870";"G8III";"1.080";"-53083.152499";"31409.094898";"-78712.436619";"Vel";"4875284.90103386"
;;;"-11.290";"K2";"1.160";"-84094.930503";"49660.025919";"21492.428654";"Leo";"2857590.5433749496"
;;;"-11.070";"B8IV/V";"-0.040";"-47967.761928";"28254.610400";"-83070.878211";"Vel";"2333458.0622810046"
;;;"-11.910";"G5";"0.995";"-79814.585959";"46776.818804";"37967.895528";"Leo";"5058246.620031137"
;;;"-11.390";"B9V";"-0.009";"-54319.023311";"31798.086690";"-77706.662451";"Vel";"3133285.7243155953"
;;;"-10.230";;"1.053";"-72740.383051";"42525.370810";"53855.635834";"Leo";"1076465.213629835"
;;;"-9.590";"F8";"0.482";"-68592.359576";"39866.954527";"60874.577161";"LMi";"597035.2865838367"
;;;"-11.570";"K0";"1.202";"-65676.998702";"38161.328631";"65040.332399";"LMi";"3698281.797802674"
;;;"-10.340";"K0";"0.826";"-78496.376184";"45511.638345";"-42035.814505";"Hya";"1191242.0080273761"
;;;"-10.800";"K0";"1.254";"-79825.207702";"46278.750559";"38551.439169";"Leo";"1819700.8586099863"
;;;"-9.760";"G5";"0.600";"-53229.647769";"30795.795893";"-78855.713514";"Vel";"698232.4040771718"
;;;"-10.570";"K2";"1.662";"-82918.434174";"47928.860612";"28763.824408";"Leo";"1472312.5024327193"
;;;"-11.820";"K3III";"1.475";"-77172.868879";"44286.308141";"-45640.675062";"Ant";"4655860.9352296"
;;;"-10.820";"K5";"1.301";"-57747.554721";"33138.064953";"74612.924986";"UMa";"1853531.6234148142"
;;;"-11.160";"A4III";"0.329";"-45042.348639";"25769.834024";"-85481.591489";"Car";"2535128.6304979073"
;;;"-12.360";"G8Ib/II";"1.257";"-43102.594440";"24658.734556";"-86799.269367";"Car";"7655966.069112569"
;;;"-11.660";"K5";"1.400";"-86482.511757";"49446.483621";"8707.492047";"Sex";"4017908.108489392"
;;;"-13.090";"B5V";"-0.148";"-55247.054396";"31583.816502";"-77137.704948";"Vel";"14996848.35502371"
;;;"-11.630";"K3III";"1.560";"-71468.727086";"40777.872126";"-56827.688618";"Ant";"3908408.957924025"
;;;"-10.660";"K5/M0";"1.658";"-73924.066916";"42142.980306";"-52528.102399";"Ant";"1599558.0286146712"
;;;"-11.820";"G8IIICN...";"1.199";"-42144.209688";"24019.214428";"-87446.800559";"Car";"4655860.9352296"
;;;"-7.030";"Fp";;"-21888.206771";"12420.066708";"-96781.446297";;"56493.69748123022"
;;;"-8.990";"F2";"0.130";"-56741.357210";"32126.035678";"-75817.782964";"Vel";"343557.947899875"
;;;"-10.090";"F8+...";"0.465";"-24615.921648";"13935.202904";"95915.934659";"Dra";"946237.161365793"
;;;"-14.070";"A9IV";"0.263";"-42963.086939";"24306.948326";"-86967.496343";"Car";"36982817.97802674"
;;;"-7.490";;;"-15556.316217";"8794.194460";"98390.361166";;"86297.85477669702"
;;;"-12.740";"B7III";"0.023";"-35538.516234";"20050.084252";"-91296.264904";"Car";"10864256.236170666"
;;;"-10.800";"K0";"0.961";"-86112.092316";"48553.372069";"15075.729430";"Leo";"1819700.8586099863"
;;;"-11.120";"K0";"1.308";"-85824.427250";"48335.020539";"17259.590862";"Leo";"2443430.5526939714"
;;;"-9.630";"A6";"0.381";"-83328.691687";"46871.956394";"29314.652404";"Leo";"619441.0750767824"
;;;"-12.540";"G2Ib";"1.064";"-48415.363840";"27229.725274";"-83153.440133";"Vel";"9036494.737223024"
;;;"-10.130";"M0";"1.354";"-85174.044770";"47868.921971";"-21306.065029";"Hya";"981747.9430199864"
;;;"-13.590";"K3Ib";"1.688";"-40732.823803";"22852.695416";"-88422.798886";"Car";"23768402.866248734"
;;;"-11.210";"K0";"1.016";"-46396.711953";"26001.887426";"84683.215399";"UMa";"2654605.561975547"
;;;"-13.820";"A6II/III";"0.175";"-43388.853846";"24299.166954";"-86758.041934";"Car";"29376496.519615367"
;;;"-10.890";"B1IVn";"-0.037";"-50596.484113";"28328.695991";"-81470.735655";"Vel";"1976969.640111862"
;;;"-11.090";"B8/B9IV/V";"0.016";"-40939.224091";"22911.890567";"-88312.089781";"Car";"2376840.286624878"
;;;"-11.470";"K0/K1III";"1.394";"-35928.110577";"20093.008824";"-91134.197022";"Car";"3372873.0865886924"
;;;"-12.250";"B8II/III";"-0.024";"-43848.870140";"24522.168705";"-86463.517332";"Car";"6918309.709189377"
;;;"-12.690";"G0II";"0.888";"-43429.665787";"24160.335329";"-86776.392679";"Car";"10375284.158180127"
;;;"-11.100";"B9IV";"-0.011";"-54906.830652";"30532.279100";"-77801.156037";"Vel";"2398832.91901949"
;;;"-12.070";"K5";"1.579";"-85465.315868";"47483.631988";"20999.630395";"Leo";"5861381.645140297"
;;;"-7.900";"Fp";;"-67599.418399";"37484.417529";"-63444.756085";;"125892.54117941688"
;;;"-12.860";"B9III/IV";"-0.025";"-83137.966779";"46073.540232";"-31069.396041";"Hya";"12133888.504649786"
;;;"-11.000";"M0";"1.567";"-84234.594952";"46657.878976";"-26973.604556";"Hya";"2187761.623949552"
;;;"-9.900";"K0";"1.237";"-37018.411069";"20484.318633";"90609.215492";"UMa";"794328.2347242822"
;;;"-11.640";"K2";"1.382";"-79212.348835";"43685.883295";"42625.665893";"Leo";"3944573.0207527927"
;;;"-11.840";"K5";"1.567";"-61604.232407";"33842.664611";"71130.813306";"UMa";"4742419.852602438"
;;;"-10.000";"K2V";"1.124";"-67855.564394";"37276.073536";"-63293.891668";"Ant";"870963.5899560815"
;;;"-9.030";"Gp";"0.630";"-64658.625227";"35496.007582";"-67522.556451";"Vel";"356451.1334262439"
;;;"-12.010";"K4III";"1.580";"-49329.590404";"27041.665552";"-82676.114051";"Vel";"5546257.1295791045"
;;;"-12.210";"K5Ib/IIp...";"1.626";"-41602.785376";"22791.678439";"-88032.651005";"Car";"6668067.692136246"
;;;"-11.560";"G5";"1.028";"-82461.134183";"45164.301635";"34063.869524";"Leo";"3664375.746478333"
;;;"-11.720";"G5";"1.084";"-82713.240116";"45287.047949";"33280.673035";"Leo";"4246195.63946313"
;;;"-11.280";"K3III:";"1.451";"-71244.387362";"38768.448346";"-58491.406910";"Ant";"2831391.995799379"
;;;"-11.090";"K";"1.610";"-85923.601461";"46729.358063";"-20820.706206";"Hya";"2376840.286624878"
;;;"-10.990";"K0";"1.187";"-61423.206152";"33392.380434";"71499.221499";"UMa";"2167704.1048196964"
;;;"-10.230";"K0";"1.383";"-45948.998394";"24965.667629";"85237.345022";"UMa";"1076465.213629835"
;;;"-11.460";"A0IV";"0.080";"-46707.168426";"25342.117479";"-84712.558097";"Car";"3341950.4002611497"
;;;"-10.880";"K5III";"1.457";"-75313.107296";"40633.681524";"-51738.185079";"Ant";"1958844.6735059929"
;;;"-11.670";"K2III";"1.330";"-56643.160479";"30480.337782";"-76566.973165";"Vel";"4055085.3544838433"
;;;"-11.030";"M0";"1.728";"-85421.306139";"45879.464114";"24459.665372";"Leo";"2249054.605835783"
;;;"-11.160";"K0";"0.971";"-87941.662818";"47168.303441";"6435.455792";"Sex";"2535128.6304979073"
;;;"-11.650";"G0Ib";"0.907";"-45081.522564";"24115.230467";"-85942.492301";"Car";"3981071.7055349774"
;;;"-10.890";"K5";"1.231";"-87695.319026";"46881.995863";"10564.539030";"Sex";"1976969.640111862"
;;;"-10.700";"B8";"-0.007";"-45348.052553";"24236.089453";"-85768.094871";"Car";"1659586.9074375597"
;;;"-11.780";"G0Ib";"0.871";"-46133.770508";"24652.877995";"-85228.579862";"Car";"4487453.899331323"
;;;"-10.780";"B8";"-0.004";"-45345.033940";"24228.986644";"-85771.697566";"Car";"1786487.5748520498"
;;;"-12.990";"M5II:";"2.276";"-52760.791661";"28187.301607";"-80135.977621";"Vel";"13677288.255958494"
;;;"-11.310";"B8/B9III";"0.074";"-38361.264340";"20453.251052";"-90055.971038";"Car";"2910717.118066608"
;;;"-8.830";"Gp";;"-76085.581467";"40405.668537";"-50777.615569";"Ant";"296483.1389524345"
;;;"-12.390";"K5";"1.530";"-35890.287679";"19042.516383";"91374.338958";"UMa";"7870457.896951001"
;;;"-11.300";"A3";"0.292";"-53077.805376";"28139.788181";"79943.097873";"UMa";"2884031.503126606"
;;;"-10.850";"G8p...";"1.100";"-82937.298230";"43774.355102";"-34716.140332";"Hya";"1905460.7179632483"
;;;"-10.130";;"0.927";"-86178.943669";"45454.034815";"22519.333627";"Leo";"981747.9430199864"
;;;"-11.110";"B8/B9V";"-0.020";"-41690.481347";"21964.316516";"-88201.318386";"Car";"2421029.04673618"
;;;"-10.380";"G5";"0.853";"-47145.700972";"24798.218211";"84630.557445";"UMa";"1235947.433444512"
;;;"-12.050";"B2IIIe";"0.078";"-56164.491633";"29455.053670";"-77317.201791";"Vel";"5754399.373371567"
;;;"-12.910";"M3III:";"1.645";"-87366.032557";"45710.554115";"16664.981487";"Leo";"12705741.052085394"
;;;"-8.070";;;"-88500.503469";"46229.512191";"5522.054739";"Sex";"147231.25024327193"
;;;"-10.650";"K0";"1.030";"-71097.917084";"37053.557496";"-59767.215622";"Ant";"1584893.1924611141"
;;;"-11.570";"B8III";"0.020";"-37268.724465";"19421.148016";"-90740.625888";"Car";"3698281.797802674"
;;;"-11.190";"B8III";"-0.055";"-44049.746856";"22945.982093";"-86793.442769";"Car";"2606153.5499988976"
;;;"-10.810";"K1/K2III";"1.238";"-81272.849073";"42254.513789";"-40115.833135";"Hya";"1836538.3433483473"
;;;"-10.140";"G0";"0.660";"-88613.574472";"46029.003739";"-5381.935890";"Sex";"990831.9448927686"
;;;"-10.630";"A3";"0.288";"-88463.634725";"45925.374611";"8065.066530";"Sex";"1555965.631605075"
;;;"-9.470";"WC...";"0.023";"-43535.242675";"22534.745228";"-87160.013210";"Car";"534564.3593969725"
;;;"-10.900";"K7";"1.665";"-61100.420802";"31459.949023";"-72643.032600";"Vel";"1995262.3149688828"
;;;"-11.710";"M0III";"1.607";"-64142.442380";"33025.758460";"-69246.273284";"Vel";"4207266.283844455"
;;;"-10.960";"B9IV/V";"0.001";"-53998.618122";"27796.402953";"-79445.007545";"Vel";"2108628.149933293"
;;;"-11.020";"G8III";"1.026";"-55635.396978";"28576.269029";"-78026.274110";"Vel";"2228435.149270303"
;;;"-11.800";"A3Iab";"0.826";"-47092.261881";"24154.460712";"-84846.219013";"Car";"4570881.8961487515"
;;;"-11.520";"K3III";"1.480";"-86268.583394";"44156.661997";"-24656.048355";"Hya";"3531831.697919563"
;;;"-12.220";"K5";"1.610";"-87062.047793";"44557.121029";"20853.363627";"Leo";"6729766.562843182"
;;;"-10.980";"K5";"1.443";"-74339.254800";"37871.298548";"-55131.115916";"Ant";"2147830.4741305374"
;;;"-10.600";"K0/K1III";"1.081";"-81381.429291";"41343.246407";"-40838.694189";"Hya";"1513561.2484362072"
;;;"-11.580";"M6";"1.626";"-87721.171899";"44541.849256";"-17917.020429";"Sex";"3732501.5779572064"
;;;"-8.920";"Gp";"0.948";"-75318.479327";"38241.219144";"-53523.227016";"Ant";"322106.8791283435"
;;;"-11.000";"K5";"1.120";"-52141.458555";"26473.319281";"81119.859875";"UMa";"2187761.623949552"
;;;"-11.200";"K7";"1.614";"-80907.814208";"41012.063805";"42094.372812";"Leo";"2630267.9918953762"
;;;"-10.670";"G5";"1.140";"-83127.376546";"42049.332540";"36355.094576";"Leo";"1614358.556826487"
;;;"-12.110";"K2III";"1.330";"-51747.519546";"26118.873320";"-81486.187034";"Vel";"6081350.012787188"
;;;"-10.780";"G5";"0.906";"-69984.389043";"35223.323536";"62140.991056";"LMi";"1786487.5748520498"
;;;"-9.380";"F2";"0.373";"-21366.846047";"10736.219176";"97098.874802";"Dra";"492039.5356814511"
;;;"-11.560";"B0.5Iab";"0.400";"-46876.459373";"23536.713779";"-85138.831856";"Car";"3664375.746478333"
;;;"-9.040";"A2";;"-87037.274178";"43679.064359";"-22729.985492";"Hya";"359749.33515574236"
;;;"-8.180";;;"-87233.420958";"43710.933632";"21901.701966";"Leo";"162929.60326397215"
;;;"-11.210";"K2";"1.171";"-89328.140954";"44707.902648";"4656.895380";"Sex";"2654605.561975547"
;;;"-11.150";"M0";"1.739";"-26199.316268";"13059.914851";"95619.215909";"Dra";"2511886.4315095823"
;;;"-11.430";"K4III";"1.476";"-69722.973199";"34651.519273";"-62753.320393";"Ant";"3250872.973854347"
;;;"-9.810";"F8";"0.475";"-36386.837555";"18083.571408";"91372.766719";"UMa";"731139.0834834187"
;;;"-10.770";"K2";"1.176";"-66466.988280";"32992.183143";"67034.732196";"UMa";"1770108.958317422"
